pka_energy,diffusivity,h0,run,final_magnetization,timestamp
5900,1.0,0.08,23,-0.9535111111111112,2025-02-23 10:38:52
5900,1.0,0.08,24,-0.1877333333333333,2025-02-23 10:38:52
5900,1.0,0.08,25,-0.9552,2025-02-23 10:38:52
6000,1.0,0.08,1,-0.9482666666666668,2025-02-23 10:38:52
6000,1.0,0.08,2,0.5616888888888889,2025-02-23 10:38:52
6000,1.0,0.08,3,0.0703111111111111,2025-02-23 10:38:52
6000,1.0,0.08,4,0.1838222222222222,2025-02-23 10:38:52
6000,1.0,0.08,5,0.9503111111111112,2025-02-23 10:38:52
6000,1.0,0.08,6,0.1749333333333333,2025-02-23 10:38:52
6000,1.0,0.08,7,-0.2964444444444444,2025-02-23 10:38:52
6000,1.0,0.08,8,-0.9439111111111111,2025-02-23 10:38:52
6000,1.0,0.08,9,-0.3733333333333333,2025-02-23 10:38:52
6000,1.0,0.08,10,-0.9536,2025-02-23 10:38:52
6000,1.0,0.08,11,-0.9527111111111112,2025-02-23 10:38:52
6000,1.0,0.08,12,0.9497777777777778,2025-02-23 10:38:52
6000,1.0,0.08,13,-0.2088,2025-02-23 10:38:52
6000,1.0,0.08,14,-0.9519111111111112,2025-02-23 10:38:52
6000,1.0,0.08,15,0.0084444444444444,2025-02-23 10:38:52
6000,1.0,0.08,16,0.4623111111111111,2025-02-23 10:38:52
6000,1.0,0.08,17,-0.9518222222222222,2025-02-23 10:38:52
6000,1.0,0.08,18,-0.9519111111111112,2025-02-23 10:38:52
6000,1.0,0.08,19,0.3692444444444444,2025-02-23 10:38:52
6000,1.0,0.08,20,0.2750222222222222,2025-02-23 10:38:52
6000,1.0,0.08,21,-0.9528,2025-02-23 10:38:52
6000,1.0,0.08,22,-0.9474666666666668,2025-02-23 10:38:52
6000,1.0,0.08,23,-0.9472,2025-02-23 10:38:52
6000,1.0,0.08,24,-0.9486222222222224,2025-02-23 10:38:52
6000,1.0,0.08,25,-0.9569777777777778,2025-02-23 10:38:52
6100,1.0,0.08,1,0.3412444444444444,2025-02-23 10:38:52
6100,1.0,0.08,2,-0.9541333333333334,2025-02-23 10:38:52
6100,1.0,0.08,3,0.9600888888888888,2025-02-23 10:38:52
6100,1.0,0.08,4,0.2960888888888889,2025-02-23 10:38:52
6100,1.0,0.08,5,-0.9526222222222224,2025-02-23 10:38:52
6100,1.0,0.08,6,-0.9527111111111112,2025-02-23 10:38:52
6100,1.0,0.08,7,0.9536888888888888,2025-02-23 10:38:52
6100,1.0,0.08,8,-0.9511111111111112,2025-02-23 10:38:52
6100,1.0,0.08,9,-0.9538666666666666,2025-02-23 10:38:52
6100,1.0,0.08,10,0.3012444444444444,2025-02-23 10:38:52
6100,1.0,0.08,11,-0.9515555555555556,2025-02-23 10:38:52
6100,1.0,0.08,12,-0.0315555555555555,2025-02-23 10:38:52
6100,1.0,0.08,13,0.2705777777777777,2025-02-23 10:38:52
6100,1.0,0.08,14,-0.2,2025-02-23 10:38:52
6100,1.0,0.08,15,-0.1352,2025-02-23 10:38:52
6100,1.0,0.08,16,-0.9453333333333334,2025-02-23 10:38:52
6100,1.0,0.08,17,-0.1961777777777777,2025-02-23 10:38:52
6100,1.0,0.08,18,-0.9541333333333334,2025-02-23 10:38:52
6100,1.0,0.08,19,0.9523555555555556,2025-02-23 10:38:52
6100,1.0,0.08,20,-0.9509333333333332,2025-02-23 10:38:52
6100,1.0,0.08,21,0.2811555555555555,2025-02-23 10:38:52
6100,1.0,0.08,22,-0.9417777777777778,2025-02-23 10:38:52
6100,1.0,0.08,23,0.1983111111111111,2025-02-23 10:38:52
6100,1.0,0.08,24,-0.9476444444444444,2025-02-23 10:38:52
6100,1.0,0.08,25,0.0456,2025-02-23 10:38:52
6200,1.0,0.08,1,0.9482666666666668,2025-02-23 10:38:52
6200,1.0,0.08,2,0.9497777777777778,2025-02-23 10:38:52
6200,1.0,0.08,3,-0.9512888888888889,2025-02-23 10:38:52
